"City","xcoord","ycoord"
"marysville, wa","48.0517637","-122.1770818"
"perris, ca","33.7825194","-117.2286478"
"cleveland, oh","41.49932","-81.6943605"
"worcester, ma","42.2625932","-71.8022934"
"columbia, sc","34.0007104","-81.0348144"
"waterbury, ct","41.5581525","-73.0514965"
"eagan, mn","44.8041322","-93.1668858"
"southfield, mi","42.4733688","-83.2218731"
"lafayette, la","30.2240897","-92.0198427"
"boise city, id","43.6187102","-116.2146068"
"elkhart, in","41.6819935","-85.9766671"
"buena park, ca","33.8675143","-117.9981181"
"marietta, ga","33.952602","-84.5499327"
"parker, co","39.5186002","-104.7613633"
"west palm beach, fl","26.7153424","-80.0533746"
"salem, ma","42.51954","-70.8967155"
"aurora, il","41.7605849","-88.3200715"
"leesburg, va","39.1156615","-77.5636015"
"doral, fl","25.8195424","-80.3553302"
"westminster, ca","33.7513419","-117.9939921"
"lubbock, tx","33.5778631","-101.8551665"
"overland park, ks","38.9822282","-94.6707917"
"jackson, ms","32.2987573","-90.1848103"
"gastonia, nc","35.262082","-81.1873005"
"daytona beach, fl","29.2108147","-81.0228331"
"kansas city, mo","39.0997265","-94.5785667"
"noblesville, in","40.0455917","-86.0085955"
"southaven, ms","34.9889818","-90.0125913"
"chino, ca","34.0122346","-117.688944"
"gaithersburg, md","39.1434406","-77.2013705"
"fountain valley, ca","33.7091847","-117.9536697"
"frederick, md","39.4142688","-77.4105409"
"greenville, nc","35.612661","-77.3663538"
"dekalb, il","41.9294736","-88.7503647"
"west allis, wi","43.0166806","-88.0070315"
"thornton, co","39.8680412","-104.9719243"
"west des moines, ia","41.5772115","-93.711332"
"fall river, ma","41.7014912","-71.1550451"
"tulare, ca","36.2077288","-119.3473379"
"chula vista, ca","32.6400541","-117.0841955"
"coral springs, fl","26.271192","-80.2706044"
"concord, nc","35.4087517","-80.579511"
"smyrna, ga","33.8839926","-84.5143761"
"apopka, fl","28.6934076","-81.5322149"
"grand forks, nd","47.9252568","-97.0328547"
"lancaster, oh","39.7136754","-82.5993294"
"naperville, il","41.7508391","-88.1535352"
"hollywood, fl","26.0112014","-80.1494901"
"rogers, ar","36.3320196","-94.1185366"
"new orleans, la","29.9510658","-90.0715323"
"lakewood, wa","47.1717649","-122.518458"
"oak lawn, il","41.719978","-87.7479528"
"caldwell, id","43.6629384","-116.6873596"
"portland, or","45.5230622","-122.6764816"
"concord, ca","37.9779776","-122.0310733"
"burien, wa","47.4703767","-122.3467918"
"st. charles, mo","38.7881062","-90.4974359"
"waukesha, wi","43.0116784","-88.2314813"
"flagstaff, az","35.1982836","-111.651302"
"puyallup, wa","47.1853785","-122.2928974"
"schenectady, ny","42.8142432","-73.9395687"
"denver, co","39.7392358","-104.990251"
"springfield, il","39.7817213","-89.6501481"
"campbell, ca","37.2871651","-121.9499568"
"moreno valley, ca","33.9424658","-117.2296717"
"kettering, oh","39.6895036","-84.1688274"
"lincoln park, mi","42.2505943","-83.1785361"
"lake havasu city, az","34.483901","-114.3224548"
"north little rock, ar","34.769536","-92.2670941"
"reno, nv","39.5296329","-119.8138027"
"littleton, co","39.613321","-105.0166498"
"prescott, az","34.5400242","-112.4685025"
"dublin, ca","37.7021521","-121.9357918"
"texarkana, tx","33.425125","-94.0476882"
"portland, me","43.661471","-70.2553259"
"brooklyn park, mn","45.0941315","-93.3563405"
"west haven, ct","41.2705484","-72.9469711"
"el centro, ca","32.792","-115.5630514"
"the colony, tx","33.0806083","-96.8928309"
"flint, mi","43.0125274","-83.6874562"
"pittsburg, ca","38.0279762","-121.8846806"
"buckeye, az","33.3703197","-112.5837766"
"brea, ca","33.9166805","-117.9000604"
