lat,lng,population,Location
46.9994,-122.3921,2500,"South Creek, WA"
47.2507,-121.0989,947,"Roslyn, WA"
47.3048,-117.9713,441,"Sprague, WA"
47.3352,-122.5968,9507,"Gig Harbor, WA"
48.0639,-122.092,3591,"Lake Cassidy, WA"
46.8537,-122.8607,1830,"Tenino, WA"
48.1229,-123.0911,289,"Jamestown, WA"
47.942,-121.9924,3390,"Three Lakes, WA"
48.7311,-118.6663,573,"Curlew Lake, WA"
47.9038,-121.9861,4280,"Chain Lake, WA"
48.0536,-119.8994,701,"Pateros, WA"
46.3076,-123.6344,385,"Rosburg, WA"
47.1417,-122.4376,37019,"Parkland, WA"
48.923,-122.7543,8642,"Birch Bay, WA"
46.7537,-122.0113,162,"Ashford, WA"
47.5508,-122.6655,3154,"Navy Yard City, WA"
48.4228,-119.5159,8130,"Omak, WA"
47.0887,-117.0464,154,"Farmington, WA"
47.1615,-122.02,4819,"Buckley, WA"
47.8525,-122.1058,2506,"Cathcart, WA"
47.7417,-122.6408,10670,"Poulsbo, WA"
48.4878,-122.6292,17955,"Anacortes, WA"
47.3715,-122.5689,5340,"Maplewood, WA"
47.7595,-118.52,226,"Creston, WA"
47.4513,-117.1307,477,"Rockford, WA"
45.6599,-120.9698,438,"Wishram, WA"
46.7225,-122.9695,41643,"Centralia, WA"
47.1203,-122.2848,56379,"South Hill, WA"
46.1796,-122.9577,3678,"Longview Heights, WA"
47.5973,-122.7021,2973,"Erlands Point-Kitsap Lake, WA"
45.9122,-122.4795,2027,"Amboy, WA"
47.0915,-117.5887,561,"St. John, WA"
45.6316,-121.1749,1739,"Dallesport, WA"
47.1569,-122.6343,0,"Ketron Island, WA"
46.5737,-119.0013,503,"Mesa, WA"
47.2328,-122.3518,10154,"Fife, WA"
47.1949,-119.3186,3787,"Moses Lake North, WA"
48.2929,-117.7336,2637,"Chewelah, WA"
46.8304,-124.0898,756,"Grayland, WA"
46.9837,-120.4191,1491,"Kittitas, WA"
48.1865,-122.4708,15989,"Camano, WA"
47.883,-121.9882,1704,"Monroe North, WA"
45.6425,-121.9689,999,"North Bonneville, WA"
45.818,-121.1626,358,"Klickitat, WA"
48.0685,-117.6298,784,"Loon Lake, WA"
48.1788,-117.0545,2635,"Newport, WA"
47.7795,-117.35,6859,"Mead, WA"
47.5175,-120.4671,4864,"Cashmere, WA"
